Platform,Subscription_Tier,AI_Feature_Used,User_Mood_Pre_Watch,Device_Type,Content_Type,Region,Data_Privacy_Setting,Engagement_Score,Daily_Viewing_Time_Min,Churn_Risk_Probability,Monthly_Subscription_Cost_USD,AI_Feature_Satisfaction,Content_Items_Watched,Weekly_Sessions
Netflix,Ad-Supported,Virtual Background Sync,Bored,Foldable Phone,Shorts,Europe,Medium,70,74,0.5327,34.15,5.15,1,3
Disney+ AI,Standard,AI-Generated Summary,Stressed,Foldable Phone,Education,North America,Low,72,154,0.2182,25.83,6.76,5,3
Disney+ AI,Standard,Personalized Story Ending,Happy,AI-Integrated TV,Movies,Asia Pacific,Medium,100,81,0.3378,16.53,6.88,1,3
Apple TV+,Ad-Supported,Virtual Background Sync,Energetic,Foldable Phone,Movies,Asia Pacific,Low,67,166,0.3367,23.94,10.0,1,2
Netflix,Premium AI-Plus,Real-time Voice Dubbing,Happy,Foldable Phone,Gaming,Asia Pacific,High,54,85,0.268,5.18,9.87,1,3
YouTube,Standard,Mood-Based Playlist,Stressed,Apple Vision Pro,Education,Asia Pacific,High,92,135,0.1963,9.61,9.43,6,6
YouTube,Premium AI-Plus,Virtual Background Sync,Bored,Apple Vision Pro,Gaming,Middle East & Africa,High,73,167,0.0025,11.72,9.36,4,3
Netflix,Premium AI-Plus,Mood-Based Playlist,Bored,AI-Integrated TV,Education,Asia Pacific,Low,39,210,0.1254,16.37,7.97,14,3
Netflix,Ad-Supported,Real-time Voice Dubbing,Stressed,AI-Integrated TV,Movies,Asia Pacific,Medium,77,93,0.3325,29.58,10.0,1,3
Netflix,Standard,AI-Generated Summary,Anxious,Apple Vision Pro,Education,Middle East & Africa,Low,53,172,0.0527,34.99,4.01,1,8
YouTube,Ad-Supported,Mood-Based Playlist,Happy,AI-Integrated TV,Gaming,Asia Pacific,Low,81,78,0.3369,5.44,9.04,1,3
YouTube,Standard,Mood-Based Playlist,Happy,Smart Glasses,Shorts,North America,Medium,75,5,0.3868,34.99,8.17,1,2
Apple TV+,Ad-Supported,Virtual Background Sync,Stressed,Foldable Phone,Gaming,Europe,High,78,119,0.5018,17.44,9.76,1,2
Netflix,Standard,Personalized Story Ending,Stressed,Foldable Phone,Shorts,Latin America,Medium,100,134,0.4039,14.84,7.28,1,5
Apple TV+,Standard,Virtual Background Sync,Energetic,AI-Integrated TV,Movies,Europe,Medium,57,123,0.0435,22.58,9.62,3,5
Netflix,Premium AI-Plus,AI-Generated Summary,Bored,Foldable Phone,Gaming,Europe,High,88,266,0.2026,16.31,9.2,1,3
Netflix,Standard,Mood-Based Playlist,Stressed,Smart Glasses,Education,Latin America,High,100,143,0.8108,17.39,9.88,1,2
TikTok,Standard,Mood-Based Playlist,Happy,Smart Glasses,Education,Europe,Low,80,230,0.2934,34.99,7.14,1,2
YouTube,Ad-Supported,AI-Generated Summary,Energetic,Smart Glasses,Gaming,Asia Pacific,High,100,38,0.1432,22.75,6.14,29,2
Disney+ AI,Premium AI-Plus,Virtual Background Sync,Happy,Smart Glasses,Education,Asia Pacific,High,67,46,0.3306,6.92,6.93,1,5
Prime Video,Ad-Supported,AI-Generated Summary,Stressed,AI-Integrated TV,Education,North America,Low,93,79,0.5405,5.1,4.79,1,3
YouTube,Premium AI-Plus,Virtual Background Sync,Anxious,AI-Integrated TV,Gaming,North America,Low,58,102,0.1767,30.34,9.12,1,6
Prime Video,Premium AI-Plus,Personalized Story Ending,Happy,AI-Integrated TV,Movies,Middle East & Africa,Medium,79,104,0.1947,14.26,9.28,33,4
TikTok,Premium AI-Plus,Virtual Background Sync,Energetic,Foldable Phone,Gaming,Asia Pacific,Medium,72,87,0.4154,1.36,10.0,3,3
Apple TV+,Ad-Supported,Real-time Voice Dubbing,Bored,Apple Vision Pro,Movies,Middle East & Africa,Medium,67,155,0.2375,34.99,8.16,2,8
Prime Video,Ad-Supported,Mood-Based Playlist,Happy,AI-Integrated TV,Shorts,Latin America,High,95,49,0.5126,4.06,4.45,2,9
Disney+ AI,Standard,Mood-Based Playlist,Energetic,Apple Vision Pro,Shorts,North America,Medium,71,126,0.1876,25.69,6.1,13,5
Netflix,Standard,Mood-Based Playlist,Happy,Foldable Phone,Gaming,Europe,Low,87,59,0.1402,25.78,8.66,1,5
Netflix,Standard,Mood-Based Playlist,Stressed,Apple Vision Pro,Gaming,Asia Pacific,Medium,100,86,0.2558,17.17,9.9,1,2
Disney+ AI,Ad-Supported,Personalized Story Ending,Happy,Foldable Phone,Shorts,Europe,Medium,66,111,0.1156,24.21,7.83,1,3
Disney+ AI,Premium AI-Plus,Virtual Background Sync,Anxious,AI-Integrated TV,Movies,Europe,High,56,37,0.4719,26.04,8.65,2,4
Netflix,Ad-Supported,Personalized Story Ending,Stressed,AI-Integrated TV,Movies,North America,High,65,96,0.0911,34.99,6.01,1,3
Netflix,Standard,Real-time Voice Dubbing,Bored,AI-Integrated TV,Gaming,Asia Pacific,Medium,89,120,0.1538,11.14,5.82,1,7
YouTube,Ad-Supported,Personalized Story Ending,Happy,AI-Integrated TV,Movies,Europe,Medium,51,128,0.2989,8.23,10.0,2,3
Netflix,Premium AI-Plus,AI-Generated Summary,Happy,Foldable Phone,Movies,Middle East & Africa,Medium,60,98,0.2181,23.24,8.92,1,8
Disney+ AI,Ad-Supported,Virtual Background Sync,Energetic,Apple Vision Pro,Movies,Asia Pacific,Medium,72,163,0.2681,16.57,9.38,1,3
Netflix,Ad-Supported,Mood-Based Playlist,Stressed,Foldable Phone,Shorts,Middle East & Africa,Medium,78,62,0.3125,34.99,7.01,1,3
Prime Video,Ad-Supported,Mood-Based Playlist,Anxious,Foldable Phone,Shorts,Middle East & Africa,Medium,53,234,0.1759,34.98,9.66,10,6
Netflix,Standard,AI-Generated Summary,Bored,Foldable Phone,Gaming,Asia Pacific,Medium,53,239,0.0025,4.87,9.91,63,4
Apple TV+,Premium AI-Plus,Virtual Background Sync,Anxious,Foldable Phone,Shorts,North America,Low,59,183,0.1131,16.5,3.84,3,2
TikTok,Standard,Virtual Background Sync,Happy,AI-Integrated TV,Education,North America,High,64,98,0.3136,33.64,8.18,3,8
Apple TV+,Standard,Personalized Story Ending,Happy,Apple Vision Pro,Shorts,North America,Low,92,122,0.6688,11.64,4.93,1,1
TikTok,Standard,Real-time Voice Dubbing,Stressed,Smart Glasses,Shorts,Europe,Low,86,119,0.2718,15.57,9.77,3,7
Netflix,Premium AI-Plus,Personalized Story Ending,Anxious,Smart Glasses,Education,Asia Pacific,High,56,124,0.4136,2.5,7.4,2,8
Prime Video,Premium AI-Plus,AI-Generated Summary,Bored,Smart Glasses,Gaming,Europe,High,93,149,0.2627,34.99,4.71,1,8
Prime Video,Ad-Supported,Virtual Background Sync,Bored,Foldable Phone,Education,Asia Pacific,Low,100,145,0.0891,17.44,6.36,28,9
TikTok,Ad-Supported,AI-Generated Summary,Anxious,Foldable Phone,Education,Asia Pacific,High,100,176,0.6457,22.42,9.14,1,4
Netflix,Standard,AI-Generated Summary,Bored,Foldable Phone,Gaming,Asia Pacific,Low,65,164,0.6903,27.27,10.0,1,3
Netflix,Premium AI-Plus,Virtual Background Sync,Stressed,Foldable Phone,Education,North America,High,72,66,0.2821,34.99,10.0,1,2
Disney+ AI,Ad-Supported,Virtual Background Sync,Happy,AI-Integrated TV,Shorts,Asia Pacific,Medium,57,195,0.2332,34.99,7.04,1,3
YouTube,Premium AI-Plus,AI-Generated Summary,Energetic,AI-Integrated TV,Movies,Asia Pacific,Medium,58,78,0.1475,29.85,6.3,5,1
Prime Video,Ad-Supported,AI-Generated Summary,Happy,Smart Glasses,Shorts,North America,Medium,72,84,0.1556,29.14,5.57,3,6
TikTok,Ad-Supported,Virtual Background Sync,Stressed,Apple Vision Pro,Shorts,Middle East & Africa,Low,96,74,0.3199,24.18,8.63,1,11
Netflix,Standard,Real-time Voice Dubbing,Anxious,Apple Vision Pro,Shorts,Europe,Medium,75,94,0.4659,14.38,9.67,19,4
Prime Video,Ad-Supported,Mood-Based Playlist,Anxious,AI-Integrated TV,Gaming,Asia Pacific,Low,68,68,0.3336,11.96,7.9,2,8
YouTube,Standard,Personalized Story Ending,Energetic,AI-Integrated TV,Movies,North America,High,65,168,0.2578,15.38,6.92,1,2
Prime Video,Premium AI-Plus,AI-Generated Summary,Stressed,AI-Integrated TV,Movies,Asia Pacific,Medium,84,133,0.233,13.51,7.38,6,2
Prime Video,Premium AI-Plus,Real-time Voice Dubbing,Happy,Foldable Phone,Shorts,Asia Pacific,Medium,78,92,0.1468,13.57,9.02,29,3
Apple TV+,Ad-Supported,Personalized Story Ending,Happy,AI-Integrated TV,Shorts,Latin America,Medium,100,162,0.4059,12.82,5.51,2,1
Disney+ AI,Standard,AI-Generated Summary,Happy,Smart Glasses,Movies,Europe,Medium,59,175,0.1377,12.85,6.12,5,2
Netflix,Premium AI-Plus,Virtual Background Sync,Bored,AI-Integrated TV,Gaming,Europe,Medium,64,131,0.1846,14.65,10.0,1,4
TikTok,Standard,Mood-Based Playlist,Happy,Foldable Phone,Movies,Latin America,Low,79,81,0.252,9.04,7.82,1,9
YouTube,Premium AI-Plus,Mood-Based Playlist,Happy,AI-Integrated TV,Gaming,North America,Medium,66,95,0.1909,6.08,7.42,3,7
Netflix,Standard,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Movies,North America,Low,49,166,0.1652,11.38,4.62,1,5
Apple TV+,Premium AI-Plus,AI-Generated Summary,Happy,Smart Glasses,Shorts,Latin America,Medium,69,129,0.2151,33.64,7.29,1,5
Disney+ AI,Premium AI-Plus,Mood-Based Playlist,Bored,Apple Vision Pro,Movies,Europe,Medium,58,75,0.2401,13.18,9.27,19,3
Disney+ AI,Standard,Virtual Background Sync,Happy,Smart Glasses,Gaming,Latin America,Medium,48,28,0.1967,7.24,4.99,1,3
Disney+ AI,Ad-Supported,AI-Generated Summary,Energetic,AI-Integrated TV,Shorts,Europe,Low,42,98,0.3298,15.71,4.76,1,3
YouTube,Ad-Supported,AI-Generated Summary,Energetic,Foldable Phone,Movies,North America,Low,90,72,0.2075,7.53,5.74,1,5
YouTube,Premium AI-Plus,Virtual Background Sync,Happy,AI-Integrated TV,Shorts,Asia Pacific,Low,88,75,0.0694,34.99,8.88,1,3
Prime Video,Standard,AI-Generated Summary,Energetic,AI-Integrated TV,Movies,Asia Pacific,Low,100,92,0.195,11.63,7.12,3,2
TikTok,Premium AI-Plus,Virtual Background Sync,Energetic,Apple Vision Pro,Gaming,Asia Pacific,Medium,100,72,0.0916,3.11,5.17,1,3
Netflix,Ad-Supported,Virtual Background Sync,Energetic,AI-Integrated TV,Shorts,Europe,Low,75,108,0.1563,15.34,6.9,1,3
Netflix,Standard,AI-Generated Summary,Energetic,AI-Integrated TV,Movies,Latin America,Medium,64,55,0.1814,14.18,4.58,30,3
Netflix,Standard,Mood-Based Playlist,Energetic,Smart Glasses,Movies,Europe,High,62,131,0.2329,26.66,8.08,3,3
TikTok,Standard,Virtual Background Sync,Bored,AI-Integrated TV,Shorts,Asia Pacific,Low,94,94,0.463,12.38,7.74,1,7
Apple TV+,Ad-Supported,Virtual Background Sync,Energetic,Foldable Phone,Gaming,Middle East & Africa,Medium,53,120,0.0025,21.42,5.82,8,3
Prime Video,Premium AI-Plus,Personalized Story Ending,Anxious,Foldable Phone,Movies,Middle East & Africa,High,72,112,0.2194,12.74,9.47,1,5
YouTube,Standard,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Movies,Asia Pacific,Medium,100,151,0.2273,25.4,6.92,2,7
Netflix,Premium AI-Plus,Mood-Based Playlist,Bored,Foldable Phone,Education,Middle East & Africa,Medium,94,87,0.5114,7.93,6.51,2,3
Apple TV+,Standard,AI-Generated Summary,Happy,Foldable Phone,Movies,Europe,Low,92,80,0.247,5.53,7.8,1,2
Netflix,Standard,Mood-Based Playlist,Happy,Foldable Phone,Gaming,Europe,High,70,143,0.2377,6.63,9.18,11,4
YouTube,Ad-Supported,Personalized Story Ending,Happy,Foldable Phone,Shorts,Middle East & Africa,Medium,71,95,0.113,11.92,8.8,1,5
TikTok,Standard,Virtual Background Sync,Happy,Apple Vision Pro,Education,Latin America,High,74,88,0.616,25.77,7.32,5,1
Apple TV+,Standard,Mood-Based Playlist,Energetic,Apple Vision Pro,Shorts,North America,Medium,88,121,0.1662,7.02,8.79,2,2
Disney+ AI,Premium AI-Plus,Virtual Background Sync,Happy,Foldable Phone,Gaming,Latin America,Low,70,159,0.517,3.15,8.91,1,3
TikTok,Premium AI-Plus,Real-time Voice Dubbing,Energetic,Foldable Phone,Education,Asia Pacific,Low,26,163,0.1137,9.52,7.0,5,3
Apple TV+,Premium AI-Plus,AI-Generated Summary,Happy,AI-Integrated TV,Shorts,Europe,Medium,46,86,0.2096,17.39,10.0,1,2
TikTok,Premium AI-Plus,Personalized Story Ending,Energetic,AI-Integrated TV,Shorts,Middle East & Africa,Medium,80,171,0.2698,12.76,7.66,5,3
Prime Video,Standard,Mood-Based Playlist,Happy,Foldable Phone,Movies,North America,Low,83,159,0.1268,4.72,6.08,6,2
YouTube,Standard,AI-Generated Summary,Happy,Foldable Phone,Shorts,Latin America,Medium,68,85,0.1468,31.81,9.8,11,6
TikTok,Standard,Personalized Story Ending,Energetic,AI-Integrated TV,Movies,Europe,Medium,100,111,0.2271,12.51,6.0,1,3
YouTube,Standard,Virtual Background Sync,Happy,AI-Integrated TV,Shorts,North America,Low,78,106,0.2094,14.75,9.04,2,2
Netflix,Ad-Supported,Virtual Background Sync,Happy,Apple Vision Pro,Shorts,Latin America,Medium,75,40,0.1005,30.59,8.71,1,2
Apple TV+,Ad-Supported,Personalized Story Ending,Happy,Foldable Phone,Shorts,Latin America,Low,90,163,0.201,34.99,6.13,1,7
Netflix,Ad-Supported,AI-Generated Summary,Stressed,Apple Vision Pro,Movies,Europe,High,64,158,0.5162,34.99,7.47,1,1
YouTube,Ad-Supported,Mood-Based Playlist,Anxious,Apple Vision Pro,Gaming,North America,High,58,90,0.3389,17.69,8.3,1,3
TikTok,Standard,Personalized Story Ending,Happy,AI-Integrated TV,Shorts,Europe,Medium,73,118,0.1164,1.75,7.93,1,2
Apple TV+,Ad-Supported,Virtual Background Sync,Stressed,AI-Integrated TV,Movies,Asia Pacific,Low,60,159,0.5754,13.18,5.67,5,4
YouTube,Standard,Virtual Background Sync,Stressed,Apple Vision Pro,Shorts,North America,Medium,92,183,0.1735,6.15,7.75,1,4
YouTube,Ad-Supported,Mood-Based Playlist,Energetic,Apple Vision Pro,Education,North America,Low,71,102,0.1397,32.3,5.61,7,3
YouTube,Standard,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Shorts,Asia Pacific,Low,64,82,0.2696,6.37,5.83,1,5
Disney+ AI,Premium AI-Plus,Personalized Story Ending,Happy,AI-Integrated TV,Gaming,Asia Pacific,Medium,71,135,0.3163,25.38,6.11,1,2
YouTube,Standard,Mood-Based Playlist,Stressed,AI-Integrated TV,Movies,Asia Pacific,Medium,100,104,0.1498,13.18,9.28,8,6
Disney+ AI,Premium AI-Plus,Mood-Based Playlist,Bored,Apple Vision Pro,Movies,Europe,High,68,105,0.1686,34.99,9.66,1,2
Apple TV+,Standard,Personalized Story Ending,Happy,Apple Vision Pro,Gaming,Asia Pacific,Low,66,140,0.6997,34.42,8.18,40,3
Apple TV+,Premium AI-Plus,Personalized Story Ending,Happy,AI-Integrated TV,Shorts,Europe,High,65,114,0.4553,15.48,6.76,6,4
Apple TV+,Premium AI-Plus,Virtual Background Sync,Bored,AI-Integrated TV,Shorts,North America,Medium,42,202,0.1993,15.45,6.79,1,3
YouTube,Ad-Supported,Personalized Story Ending,Bored,Apple Vision Pro,Education,Asia Pacific,Medium,100,144,0.6133,20.56,8.74,23,3
Apple TV+,Standard,Real-time Voice Dubbing,Happy,Foldable Phone,Shorts,North America,Medium,57,21,0.6396,13.68,10.0,12,9
Netflix,Ad-Supported,Mood-Based Playlist,Stressed,Apple Vision Pro,Education,Latin America,Medium,64,117,0.5905,34.99,9.96,2,6
YouTube,Ad-Supported,Real-time Voice Dubbing,Bored,Apple Vision Pro,Shorts,North America,High,92,31,0.4054,15.42,8.3,1,2
Netflix,Premium AI-Plus,AI-Generated Summary,Happy,Apple Vision Pro,Movies,North America,Medium,51,134,0.1082,13.85,6.41,26,4
YouTube,Ad-Supported,Mood-Based Playlist,Bored,AI-Integrated TV,Education,Europe,Medium,71,130,0.5233,34.99,4.94,21,8
YouTube,Premium AI-Plus,Mood-Based Playlist,Happy,AI-Integrated TV,Shorts,Asia Pacific,Low,53,64,0.8637,14.99,6.01,4,5
Apple TV+,Premium AI-Plus,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Movies,North America,High,100,184,0.2626,24.29,9.51,7,3
YouTube,Premium AI-Plus,Virtual Background Sync,Anxious,Foldable Phone,Education,North America,Medium,85,163,0.2726,33.48,8.42,6,6
YouTube,Standard,Real-time Voice Dubbing,Happy,AI-Integrated TV,Shorts,Latin America,Medium,74,114,0.0539,4.96,8.26,4,2
Netflix,Standard,Real-time Voice Dubbing,Bored,Smart Glasses,Movies,Europe,Medium,85,209,0.0166,20.6,5.29,2,2
Netflix,Standard,Real-time Voice Dubbing,Happy,Foldable Phone,Gaming,North America,Low,100,25,0.1482,34.99,4.77,3,3
Netflix,Premium AI-Plus,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Movies,Europe,Medium,89,145,0.0699,12.04,6.14,46,9
Prime Video,Ad-Supported,AI-Generated Summary,Bored,AI-Integrated TV,Shorts,Asia Pacific,Medium,84,165,0.2314,30.89,7.23,7,6
YouTube,Standard,Mood-Based Playlist,Bored,AI-Integrated TV,Movies,Asia Pacific,Medium,62,146,0.178,2.72,7.97,1,3
Netflix,Ad-Supported,Personalized Story Ending,Anxious,Smart Glasses,Education,North America,Medium,49,60,0.2701,25.59,8.5,1,2
Netflix,Standard,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Shorts,North America,Low,90,44,0.3017,32.26,9.36,5,3
TikTok,Premium AI-Plus,Mood-Based Playlist,Happy,AI-Integrated TV,Gaming,Europe,Low,70,89,0.3487,3.2,7.63,1,4
TikTok,Premium AI-Plus,Mood-Based Playlist,Stressed,Foldable Phone,Education,Europe,Medium,79,149,0.3494,22.74,5.96,1,5
TikTok,Standard,Personalized Story Ending,Happy,AI-Integrated TV,Movies,Middle East & Africa,High,68,46,0.1664,16.45,8.15,1,6
TikTok,Standard,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Shorts,Asia Pacific,Low,99,176,0.1916,15.09,8.68,14,5
YouTube,Standard,Mood-Based Playlist,Happy,Smart Glasses,Shorts,Asia Pacific,Low,84,88,0.1099,1.9,8.68,2,3
Netflix,Standard,Mood-Based Playlist,Stressed,Foldable Phone,Gaming,Latin America,Low,100,225,0.2868,13.22,5.45,21,5
Netflix,Ad-Supported,Virtual Background Sync,Bored,Smart Glasses,Gaming,Asia Pacific,High,77,87,0.0928,24.8,9.81,2,3
Netflix,Standard,Virtual Background Sync,Happy,AI-Integrated TV,Movies,North America,Medium,17,5,0.0502,34.99,7.44,1,5
Netflix,Standard,AI-Generated Summary,Happy,Foldable Phone,Movies,Latin America,High,70,100,0.1184,14.46,5.63,1,3
Disney+ AI,Ad-Supported,AI-Generated Summary,Stressed,AI-Integrated TV,Shorts,Asia Pacific,Medium,88,65,0.1632,31.73,7.22,9,3
TikTok,Premium AI-Plus,Mood-Based Playlist,Bored,Apple Vision Pro,Movies,Asia Pacific,High,68,117,0.1395,15.51,10.0,1,3
Apple TV+,Premium AI-Plus,Real-time Voice Dubbing,Bored,Foldable Phone,Shorts,Asia Pacific,Medium,78,168,0.2923,1.77,9.13,13,1
TikTok,Premium AI-Plus,Personalized Story Ending,Happy,Smart Glasses,Shorts,North America,Medium,91,118,0.2161,31.79,8.78,4,7
Netflix,Premium AI-Plus,Personalized Story Ending,Anxious,AI-Integrated TV,Shorts,Asia Pacific,Low,59,79,0.1866,11.91,9.58,1,3
Netflix,Premium AI-Plus,Personalized Story Ending,Happy,Apple Vision Pro,Shorts,North America,Medium,93,74,0.3181,12.76,5.74,1,5
YouTube,Ad-Supported,Personalized Story Ending,Stressed,Apple Vision Pro,Shorts,Europe,Medium,74,85,0.2829,34.99,4.92,1,9
YouTube,Ad-Supported,Personalized Story Ending,Happy,Foldable Phone,Education,Middle East & Africa,Low,71,127,0.1693,34.99,8.6,1,3
YouTube,Ad-Supported,Mood-Based Playlist,Happy,Apple Vision Pro,Movies,Europe,High,88,142,0.6859,16.05,9.21,1,3
TikTok,Ad-Supported,Virtual Background Sync,Energetic,Foldable Phone,Gaming,Europe,Medium,96,84,0.3009,6.16,8.54,2,8
Prime Video,Premium AI-Plus,Personalized Story Ending,Energetic,Smart Glasses,Shorts,North America,Medium,87,158,0.3627,28.92,5.25,2,3
YouTube,Premium AI-Plus,Real-time Voice Dubbing,Stressed,AI-Integrated TV,Gaming,Asia Pacific,Medium,97,46,0.3445,5.23,10.0,1,5
Disney+ AI,Premium AI-Plus,Real-time Voice Dubbing,Happy,AI-Integrated TV,Gaming,Middle East & Africa,Medium,75,36,0.0125,7.18,7.18,1,2
Netflix,Ad-Supported,AI-Generated Summary,Stressed,AI-Integrated TV,Education,Europe,High,68,175,0.3489,16.26,8.03,2,2
YouTube,Ad-Supported,Virtual Background Sync,Energetic,Foldable Phone,Education,Asia Pacific,Medium,69,149,0.3159,15.87,7.82,1,4
Prime Video,Standard,Mood-Based Playlist,Anxious,Foldable Phone,Shorts,North America,Medium,88,110,0.3879,17.08,4.82,1,5
Prime Video,Standard,AI-Generated Summary,Anxious,Foldable Phone,Gaming,Asia Pacific,Low,70,111,0.4182,3.38,10.0,4,3
Netflix,Premium AI-Plus,Real-time Voice Dubbing,Happy,Foldable Phone,Movies,Middle East & Africa,High,86,10,0.1882,25.43,8.52,1,3
Disney+ AI,Premium AI-Plus,Real-time Voice Dubbing,Happy,Foldable Phone,Movies,North America,High,85,64,0.3007,34.99,10.0,22,2
Netflix,Ad-Supported,Virtual Background Sync,Anxious,Foldable Phone,Gaming,Europe,Medium,100,118,0.2109,24.11,6.09,2,5
YouTube,Ad-Supported,Real-time Voice Dubbing,Stressed,Foldable Phone,Gaming,Latin America,High,62,46,0.1928,25.8,8.32,2,5
Disney+ AI,Ad-Supported,Real-time Voice Dubbing,Anxious,Smart Glasses,Shorts,Middle East & Africa,Low,71,216,0.2781,4.93,5.77,1,9
Prime Video,Standard,Mood-Based Playlist,Bored,Smart Glasses,Movies,Europe,Medium,65,117,0.0614,34.2,7.58,73,5
Apple TV+,Ad-Supported,AI-Generated Summary,Energetic,Smart Glasses,Gaming,Europe,Medium,74,108,0.1636,31.9,9.15,3,3
Disney+ AI,Standard,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Education,Asia Pacific,High,68,115,0.5591,15.94,6.59,1,2
YouTube,Ad-Supported,Mood-Based Playlist,Anxious,AI-Integrated TV,Education,North America,Medium,88,87,0.0923,24.86,9.66,44,1
YouTube,Standard,Mood-Based Playlist,Anxious,Foldable Phone,Gaming,North America,Low,43,176,0.1955,26.73,8.27,3,7
Prime Video,Standard,Mood-Based Playlist,Anxious,Foldable Phone,Gaming,Europe,Medium,71,107,0.1926,17.18,7.87,2,3
Netflix,Premium AI-Plus,Real-time Voice Dubbing,Energetic,Foldable Phone,Movies,Middle East & Africa,Medium,33,75,0.2591,7.35,4.49,1,2
Disney+ AI,Standard,Real-time Voice Dubbing,Happy,AI-Integrated TV,Gaming,Asia Pacific,Low,56,184,0.1167,16.89,8.87,3,7
Apple TV+,Premium AI-Plus,Virtual Background Sync,Bored,Apple Vision Pro,Shorts,Europe,Low,92,128,0.0072,11.73,8.48,1,3
Disney+ AI,Standard,Real-time Voice Dubbing,Stressed,Smart Glasses,Movies,Asia Pacific,Medium,79,62,0.3116,13.15,4.66,8,5
Apple TV+,Standard,Mood-Based Playlist,Stressed,Smart Glasses,Education,Latin America,Low,100,102,0.2042,31.49,6.83,3,6
YouTube,Ad-Supported,Mood-Based Playlist,Bored,AI-Integrated TV,Shorts,Middle East & Africa,High,73,52,0.025,34.99,7.8,1,7
Netflix,Premium AI-Plus,Mood-Based Playlist,Happy,AI-Integrated TV,Education,Europe,Low,93,120,0.0975,33.86,6.77,42,8
TikTok,Ad-Supported,Mood-Based Playlist,Happy,Foldable Phone,Shorts,Latin America,Medium,50,211,0.3461,12.3,8.4,4,9
Netflix,Ad-Supported,AI-Generated Summary,Happy,Apple Vision Pro,Movies,Europe,Low,64,128,0.1567,29.44,5.84,1,3
YouTube,Ad-Supported,AI-Generated Summary,Anxious,Smart Glasses,Gaming,North America,High,92,155,0.0296,11.67,9.45,1,8
TikTok,Premium AI-Plus,AI-Generated Summary,Happy,Apple Vision Pro,Movies,Asia Pacific,High,51,72,0.0954,15.94,7.01,1,2
Netflix,Ad-Supported,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Shorts,North America,High,67,60,0.3013,0.0,7.48,28,5
TikTok,Standard,AI-Generated Summary,Energetic,Smart Glasses,Shorts,Europe,Medium,50,72,0.0647,4.68,7.83,22,3
Netflix,Standard,AI-Generated Summary,Energetic,Foldable Phone,Shorts,North America,Low,100,101,0.2527,15.08,10.0,65,5
Netflix,Ad-Supported,Mood-Based Playlist,Stressed,Smart Glasses,Education,Asia Pacific,Medium,59,150,0.3366,32.7,6.73,4,7
Apple TV+,Ad-Supported,Personalized Story Ending,Stressed,Apple Vision Pro,Movies,Asia Pacific,Medium,66,118,0.4493,33.84,8.78,1,2
Netflix,Ad-Supported,Personalized Story Ending,Anxious,Foldable Phone,Shorts,Asia Pacific,Medium,100,54,0.4442,4.74,5.39,4,5
Apple TV+,Ad-Supported,AI-Generated Summary,Anxious,Apple Vision Pro,Education,Latin America,Low,85,10,0.171,4.69,8.38,2,2
TikTok,Ad-Supported,Mood-Based Playlist,Happy,Smart Glasses,Movies,North America,Medium,80,191,0.2215,0.83,6.81,9,5
TikTok,Premium AI-Plus,Virtual Background Sync,Energetic,Foldable Phone,Shorts,North America,Medium,89,67,0.0368,6.32,9.88,1,2
TikTok,Ad-Supported,Virtual Background Sync,Bored,Foldable Phone,Gaming,Europe,Medium,91,118,0.5314,33.07,8.83,1,4
TikTok,Premium AI-Plus,Virtual Background Sync,Bored,AI-Integrated TV,Movies,Asia Pacific,Low,82,116,0.126,3.5,8.32,1,7
Netflix,Standard,Mood-Based Playlist,Stressed,AI-Integrated TV,Shorts,Latin America,Medium,100,65,0.1908,5.32,7.18,1,4
Netflix,Premium AI-Plus,Mood-Based Playlist,Bored,Apple Vision Pro,Education,North America,Low,96,94,0.6462,5.64,6.76,1,7
YouTube,Ad-Supported,Mood-Based Playlist,Bored,Apple Vision Pro,Movies,North America,Medium,81,80,0.0961,5.3,6.65,1,3
Disney+ AI,Premium AI-Plus,Mood-Based Playlist,Energetic,Apple Vision Pro,Gaming,Europe,Medium,57,65,0.0445,34.99,9.28,1,6
Disney+ AI,Premium AI-Plus,AI-Generated Summary,Bored,Foldable Phone,Shorts,North America,High,97,102,0.3258,34.99,9.41,1,1
Disney+ AI,Standard,AI-Generated Summary,Happy,Foldable Phone,Gaming,Asia Pacific,Medium,97,164,0.1176,20.31,6.03,1,3
Netflix,Standard,AI-Generated Summary,Happy,Smart Glasses,Movies,Latin America,Medium,92,141,0.1295,14.79,7.01,1,3
Netflix,Premium AI-Plus,AI-Generated Summary,Anxious,AI-Integrated TV,Education,Asia Pacific,Low,87,120,0.3264,31.79,6.33,7,4
Prime Video,Ad-Supported,AI-Generated Summary,Stressed,Foldable Phone,Shorts,Asia Pacific,High,71,36,0.5082,34.99,4.86,1,2
